PRESIDENT (DEM),Precinct,Voters,Trnout,Pct,"Lyndon H Larouche, Jr",John F Kerry,Dennis J Kucinich,Over Votes,Under Votes,,,
,101,183,82,44.81,55,0,27,,,,,
,102,411,148,36.01,112,0,36,,,,,
,103,562,229,40.75,183,0,46,,,,,
,104,530,210,39.62,163,0,42,,,,,
,105,394,137,34.77,102,0,35,,,,,
,106,372,152,40.86,122,0,30,,,,,
,107,214,89,41.59,69,0,20,,,,,
,108,167,87,52.1,75,0,110,,,,,
,109,135,72,53.33,59,0,12,,,,,
,110,451,235,52.11,182,0,52,,,,,
,111,527,245,46.49,194,0,49,,,,,
,112,52,32,61.54,25,0,7,,,,,
,113,311,150,48.23,121,0,29,,,,,
,114,219,112,51.14,92,0,19,,,,,
,115,147,79,53.74,60,0,18,,,,,
,116,49,27,55.1,20,0,70,,,,,
,117,73,31,42.47,21,0,10,,,,,
,119,72,29,40.28,21,0,8,,,,,
,120,517,177,34.24,136,0,41,,,,,
,121,232,80,34.48,59,0,21,,,,,
,123,303,100,33,72,0,28,,,,,
,124,391,224,57.29,159,0,64,,,,,
,125,231,96,41.56,66,0,30,,,,,
,126,338,141,41.72,107,0,34,,,,,
,127,201,114,56.72,81,0,33,,,,,
,128,496,229,46.17,178,0,48,,,,,
,129,286,105,36.71,89,0,16,,,,,
,130,614,255,41.53,197,0,57,,,,,
,131,221,82,37.1,67,0,15,,,,,
,132,372,144,38.71,104,0,40,,,,,
,133,308,138,44.81,90,0,47,,,,,
,136,446,230,51.57,173,0,56,,,,,
,137,362,174,48.07,128,0,46,,,,,
,138,502,319,63.55,250,0,67,,,,,
,139,525,376,71.62,305,0,70,,,,,
,140,82,42,51.22,32,0,10,,,,,
,141,392,283,72.19,223,0,59,,,,,
,142,370,228,61.62,182,0,45,,,,,
,143,444,230,51.8,170,0,590,,,,,
,TOTAL,12502,5913,47.3,4544,0,1344,,,,,
STATE HOUSE 57TH DISTRICT (REP),Precinct,Voters,Trnout,Pct,Greg Smith,Over Votes,Under Votes,,,,,
,101,183,82,44.81,20,0,5,,,,,
,103,562,229,40.75,14,0,1,,,,,
,106,372,152,40.86,1,0,0,,,,,
,107,214,89,41.59,35,0,3,,,,,
,110,451,235,52.11,35,0,9,,,,,
,112,52,32,61.54,0,0,0,,,,,
,114,219,112,51.14,35,0,8,,,,,
,115,147,79,53.74,26,0,11,,,,,
,116,49,27,55.1,2,0,2,,,,,
,117,73,31,42.47,24,0,7,,,,,
,119,72,29,40.28,26,0,3,,,,,
,120,517,177,34.24,146,0,30,,,,,
,121,232,80,34.48,65,0,14,,,,,
,123,303,100,33,80,0,19,,,,,
,124,391,224,57.29,4,0,2,,,,,
,125,231,96,41.56,40,0,10,,,,,
,131,221,82,37.1,70,0,12,,,,,
,132,372,144,38.71,116,0,28,,,,,
,133,308,138,44.81,111,0,27,,,,,
,TOTAL,4969,2138,43.03,850,0,191,,,,,
STATE HOUSE 58TH DISTRICT (REP),Precinct,Voters,Trnout,Pct,Bob Jenson,Over Votes,Under Votes,,,,,
,101,183,82,44.81,38,0,19,,,,,
,102,411,148,36.01,122,0,26,,,,,
,103,562,229,40.75,171,0,43,,,,,
,104,530,210,39.62,168,0,37,,,,,
,105,394,137,34.77,110,0,27,,,,,
,106,372,152,40.86,122,0,28,,,,,
,107,214,89,41.59,41,0,10,,,,,
,108,167,87,52.1,76,0,10,,,,,
,109,135,72,53.33,58,0,11,,,,,
,110,451,235,52.11,155,0,33,,,,,
,111,527,245,46.49,197,0,47,,,,,
,112,52,32,61.54,27,0,5,,,,,
,113,311,150,48.23,125,0,25,,,,,
,114,219,112,51.14,63,0,5,,,,,
,115,147,79,53.74,38,0,4,,,,,
,116,49,27,55.1,20,0,3,,,,,
,124,391,224,57.29,163,0,54,,,,,
,125,231,96,41.56,27,0,19,,,,,
,126,338,141,41.72,117,0,24,,,,,
,127,201,114,56.72,90,0,24,,,,,
,128,496,229,46.17,186,0,42,,,,,
,129,286,105,36.71,85,0,20,,,,,
,130,614,255,41.53,193,0,61,,,,,
,136,446,230,51.57,171,0,58,,,,,
,137,362,174,48.07,133,0,41,,,,,
,138,502,319,63.55,252,0,63,,,,,
,139,525,376,71.62,309,0,66,,,,,
,140,82,42,51.22,35,0,6,,,,,
,141,392,283,72.19,226,0,56,,,,,
,142,370,228,61.62,188,0,39,,,,,
,143,444,230,51.8,174,0,54,,,,,
,TOTAL,10404,5132,49.33,3880,0,960,,,,,
